Building,Area,Adress,Phone,Agent,Contact Info,OP,Parking,Parking Price,Laundry,floor to ceilling Windows,units with balcony,Amenity fee,built year,Shuttle bus,Developer,Website,Utility
Eugene,ktown,"435 W 31st St, New York, NY 10001",877-245-1215,Derrick Diazoni,derrick.diazoni@brookfieldpropertiesmultifamily.com,no,yes,415,yes,yes,no,yes,2017,no,brookfied,https://theeugenenyc.com/,water and gas included
Epic,ktown,"125 W 31st St, New York, NY 10001",212-427-9700,Mathiew Wilson,mwilson@fetner.com 微信mathiew,yes,third party,,partial,yes,no,yes,2005,no,Fetner Properties Inc,https://www.fetner.com/properties/the-epic/,water and gas included
EOS,ktown,"100 West 31st Street, New York, NY, 10001",914-331-0947,Fenny,,no,no,,yes,yes,no,yes,2016,no,The Durst Organization,https://eosnomad.com/#the-building-overview,water and gas included
Olivia,ktown,"315 W 33rd St, New York, NY 10001",212-967-8047,Ralista Kopp,ralitsa.kopp@brookfieldproperties,no,third party,400,partial,no,no,no,2000,no,Brookfield,https://theolivianyc.com,water and gas included
Dylan,ktown,"309 5th Ave, New York, NY 10016",646-891-4515,Tori Morris,dylan@bozzuto.com,no,no,,yes,yes,no,no,2013,no,Bozzuto Management Company,https://www.bozzuto.com/apartments/new-york/ny/the-dylan/,water and gas included
Herald Tower,ktown,"50 W 34TH STREET, NEW YORK, NY 10001",212-736-5700,Leasing Offcie,212.736.5700,yes,no,,no,no,no,no,1912,no,Herald Towers LLC,https://www.heraldtowers.com/,water and gas included
Solari,ktown,"42 W 33rd St, New York, NY 10001",646-692-3326,,INFO@SOLARINYC.COM/liza@solarinyc.com,no,no,,partial,yes,yes,yes,2018,no,The Torkian Group,http://solarinyc.com/,water and gas included
Lewis,ktown,"411 W 35th St, New York, NY 10001",347-408-2259,Calli Steiner ,csteiner@boldnewyork.com,no,no,,yes,no,no,yes,2018,no,Bold New York,https://thelewisrentals.com/,water and gas included
445 W 35th,ktown,"445 West 35th St, New York, NY 10001",347-913-9431,Josh Aviles,javiles@livebold.com,no,yes,,no,no,no,no,2018,yes,Whole Foods,https://445ny.com/,water and gas included
The Atlas,ktown,"66 W 38th St, New York, NY 10018",929-242-4422 917-451-5883,,leasing@atlasny.com,no,third party,,partial,yes,no,no,2001,no,Gotham Properties Inc,https://www.gothamproperties.com/our-buildings/,water and gas included
